JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459125.34338,12.608,0.015,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.708,Z,,11.195,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.345567,12.602,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.737,Z,,11.217,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.346088,12.602,0.016,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.744,Z,,11.212,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.346597,12.601,0.015,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.752,Z,,11.216,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.347118,12.605,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.759,Z,,11.202,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.347639,12.609,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.767,Z,,11.213,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.348171,12.620,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.775,Z,,11.214,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.348692,12.602,0.016,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.783,Z,,11.209,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.349225,12.600,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.791,Z,,11.213,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.349745,12.602,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.799,Z,,11.204,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.350266,12.611,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.807,Z,,11.219,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.350799,12.609,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.815,Z,,11.208,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.351308,12.598,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.823,Z,,11.200,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.351829,12.613,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.831,Z,,11.196,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
