HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458575.85048,2019-04-02.3496771,bi,1.41,16.040,12.772,0.011,28.252,0.287,g
2458576.77342,2019-04-03.2725252,bi,1.46,15.945,12.796,0.012,27.660,0.314,g
2458576.77587,2019-04-03.2749674,bi,1.50,15.952,12.792,0.012,27.757,0.311,g
2458577.50907,2019-04-04.0081020,bm,1.41,99.990,99.990,99.990,99.990,99.990,g
2458577.51030,2019-04-04.0093273,bm,1.47,99.990,99.990,99.990,99.990,99.990,g
2458577.51152,2019-04-04.0105479,bm,1.48,99.990,99.990,99.990,99.990,99.990,g
2458578.76697,2019-04-05.2658730,bE,1.43,16.086,12.763,0.010,28.522,0.278,g
2458578.76824,2019-04-05.2671424,bE,1.45,15.999,12.772,0.011,28.262,0.298,g
2458578.76951,2019-04-05.2684149,bE,1.44,16.076,12.771,0.010,28.284,0.280,g
2458579.77564,2019-04-06.2744533,bi,1.41,15.863,12.837,0.013,26.602,0.338,g
2458579.77686,2019-04-06.2756662,bi,1.43,15.899,12.807,0.013,27.376,0.325,g
2458579.77806,2019-04-06.2768795,bi,1.43,15.914,12.792,0.012,27.735,0.321,g
2458580.59375,2019-04-07.0924836,bm,1.63,99.990,99.990,99.990,99.990,99.990,g
2458580.59497,2019-04-07.0937033,bm,1.68,99.990,99.990,99.990,99.990,99.990,g
2458580.59619,2019-04-07.0949193,bm,1.67,99.990,99.990,99.990,99.990,99.990,g
2458580.76572,2019-04-07.2644348,bE,1.40,16.076,12.797,0.011,27.622,0.280,g
2458580.76699,2019-04-07.2657019,bE,1.46,16.066,12.778,0.011,28.094,0.283,g
2458580.76831,2019-04-07.2670140,bE,1.49,16.014,12.775,0.011,28.191,0.295,g
2458581.61142,2019-04-08.1100428,bm,2.18,99.990,99.990,99.990,99.990,99.990,g
2458581.61274,2019-04-08.1113645,bm,2.20,99.990,99.990,99.990,99.990,99.990,g
2458581.61396,2019-04-08.1125898,bm,2.18,99.990,99.990,99.990,99.990,99.990,g
2458582.08968,2019-04-08.5882681,bA,2.11,16.177,12.715,0.010,29.788,0.267,g
2458582.09096,2019-04-08.5895400,bA,2.10,16.200,12.747,0.010,28.929,0.268,g
2458582.09224,2019-04-08.5908184,bA,2.08,16.218,12.715,0.010,29.781,0.267,g
2458582.53578,2019-04-09.0343173,bm,1.96,99.990,99.990,99.990,99.990,99.990,g
2458582.53699,2019-04-09.0355271,bm,1.94,16.021,12.765,0.011,28.437,0.295,g
2458582.53820,2019-04-09.0367375,bm,1.95,99.990,99.990,99.990,99.990,99.990,g
2458583.11142,2019-04-09.6099069,bA,2.14,16.219,12.802,0.010,27.488,0.264,g
2458583.11270,2019-04-09.6111840,bA,2.14,16.232,12.766,0.010,28.411,0.258,g
2458583.11398,2019-04-09.6124587,bA,2.12,16.173,12.800,0.011,27.551,0.270,g
2458583.81565,2019-04-10.3140594,bi,1.48,16.052,12.784,0.011,27.939,0.284,g
2458583.81685,2019-04-10.3152716,bi,1.41,16.009,12.782,0.011,27.993,0.296,g
2458583.81807,2019-04-10.3164907,bi,1.41,16.026,12.807,0.011,27.379,0.290,g
2458584.74787,2019-04-11.2462023,bi,1.41,15.977,12.824,0.012,26.951,0.303,g
2458584.74910,2019-04-11.2474265,bi,1.35,16.019,12.806,0.011,27.398,0.293,g
2458584.75032,2019-04-11.2486443,bi,1.40,16.021,12.820,0.011,27.037,0.294,g
2458585.52551,2019-04-12.0237599,bm,1.44,16.027,12.764,0.011,28.491,0.292,g
2458585.52671,2019-04-12.0249674,bm,1.49,16.033,12.771,0.011,28.293,0.291,g
2458585.52792,2019-04-12.0261726,bm,1.48,16.058,12.777,0.011,28.118,0.285,g
2458585.91493,2019-04-12.4131479,bi,1.42,15.968,12.812,0.012,27.251,0.307,g
2458585.91615,2019-04-12.4143672,bi,1.47,16.066,12.801,0.011,27.511,0.283,g
2458585.91738,2019-04-12.4155937,bi,1.41,16.013,12.828,0.012,26.846,0.292,g
2458586.80393,2019-04-13.3020766,bE,1.99,16.045,12.750,0.010,28.838,0.288,g
2458586.80522,2019-04-13.3033541,bE,1.97,16.058,12.771,0.011,28.305,0.284,g
2458586.80647,2019-04-13.3046158,bE,1.98,16.048,12.752,0.010,28.799,0.288,g
2458587.80343,2019-04-14.3014637,bi,1.43,16.024,12.734,0.011,29.259,0.294,g
2458587.80463,2019-04-14.3026748,bi,1.45,16.001,12.776,0.011,28.180,0.299,g
2458587.80586,2019-04-14.3038944,bi,1.41,16.041,12.788,0.011,27.847,0.288,g
2458588.72955,2019-04-15.2274993,bi,1.42,15.838,12.828,0.014,26.850,0.343,g
2458588.73077,2019-04-15.2287275,bi,1.44,15.776,12.813,0.014,27.215,0.365,g
2458588.73199,2019-04-15.2299430,bi,1.46,15.765,12.803,0.014,27.485,0.366,g
2458589.73017,2019-04-16.2280292,bi,1.43,15.721,12.809,0.015,27.298,0.383,g
2458589.73139,2019-04-16.2292452,bi,1.50,15.825,12.811,0.014,27.270,0.348,g
2458589.73261,2019-04-16.2304656,bi,1.44,15.798,12.804,0.014,27.435,0.359,g
2458590.48457,2019-04-16.9823575,bm,1.60,99.990,99.990,99.990,99.990,99.990,g
2458590.48577,2019-04-16.9835660,bm,1.43,14.609,12.756,0.042,28.693,1.103,g
2458590.48699,2019-04-16.9847829,bm,1.46,15.151,12.785,0.025,27.938,0.642,g
2458591.52443,2019-04-18.0221225,bm,1.43,15.737,12.811,0.015,27.269,0.376,g
2458591.52565,2019-04-18.0233407,bm,1.50,15.798,12.783,0.014,27.998,0.357,g
2458591.52687,2019-04-18.0245646,bm,1.43,15.805,12.791,0.014,27.752,0.355,g
2458593.72616,2019-04-20.2236515,bi,1.44,15.243,12.748,0.022,28.889,0.588,g
2458593.72738,2019-04-20.2248708,bi,1.95,15.162,12.762,0.024,28.525,0.632,g
2458594.72287,2019-04-21.2202716,bE,1.47,15.658,12.757,0.015,28.645,0.404,g
2458594.72413,2019-04-21.2215392,bE,1.47,15.703,12.756,0.015,28.667,0.388,g
2458594.72541,2019-04-21.2228157,bE,1.47,15.734,12.769,0.014,28.336,0.377,g
2458595.81993,2019-04-22.3172327,bE,1.42,15.897,12.794,0.013,27.715,0.326,g
2458595.82120,2019-04-22.3185072,bE,1.49,15.850,12.756,0.013,28.696,0.339,g
2458595.82246,2019-04-22.3197712,bE,1.43,15.867,12.775,0.013,28.186,0.334,g
2458600.04089,2019-04-26.5378357,bA,2.12,16.024,12.753,0.012,28.769,0.301,g
2458600.04217,2019-04-26.5391108,bA,2.08,16.062,12.766,0.012,28.419,0.290,g
2458600.04345,2019-04-26.5403980,bA,2.11,16.089,12.777,0.011,28.125,0.295,g
2458600.82976,2019-04-27.3266364,bi,1.40,15.953,12.785,0.012,27.915,0.310,g
2458600.83099,2019-04-27.3278620,bi,1.40,15.934,12.771,0.012,28.282,0.315,g
2458600.83220,2019-04-27.3290799,bi,1.37,15.953,12.751,0.011,28.808,0.310,g
2458601.71751,2019-04-28.2143165,bi,1.40,16.021,12.786,0.011,27.898,0.291,g
2458601.71873,2019-04-28.2155361,bi,1.41,15.898,12.798,0.013,27.586,0.327,g
2458601.71994,2019-04-28.2167509,bi,1.40,16.031,12.796,0.011,27.630,0.289,g
2458602.68992,2019-04-29.1866380,bi,1.39,16.027,12.760,0.011,28.578,0.291,g
2458602.69113,2019-04-29.1878571,bi,1.38,15.889,12.766,0.012,28.420,0.329,g
2458602.69235,2019-04-29.1890755,bi,1.42,15.924,12.756,0.012,28.667,0.319,g
2458603.69445,2019-04-30.1910939,bi,1.40,15.783,12.789,0.014,27.821,0.358,g
2458603.69568,2019-04-30.1923271,bi,1.42,15.867,12.797,0.013,27.619,0.332,g
2458603.69690,2019-04-30.1935451,bi,1.44,15.656,12.800,0.016,27.552,0.403,g
2458605.02757,2019-05-01.5241018,bA,2.07,16.179,12.716,0.010,29.778,0.274,g
2458605.02885,2019-05-01.5253825,bA,2.07,16.234,12.731,0.010,29.349,0.262,g
2458605.03013,2019-05-01.5266664,bA,2.07,16.244,12.765,0.010,28.443,0.262,g
2458605.93896,2019-05-02.4354353,bq,1.52,15.971,12.771,0.011,28.295,0.307,g
2458605.94018,2019-05-02.4366452,bq,1.51,15.920,12.768,0.013,28.373,0.325,g
2458605.94140,2019-05-02.4378631,bq,1.52,15.899,12.780,0.012,28.072,0.327,g
2458606.43707,2019-05-02.9334972,bm,1.43,16.087,12.810,0.011,27.302,0.275,g
2458606.43828,2019-05-02.9347059,bm,1.47,16.098,12.822,0.011,26.981,0.273,g
2458606.43948,2019-05-02.9359099,bm,1.43,16.055,12.803,0.011,27.466,0.282,g
